age,workclass,education,marital status,occupation,relationship,race,gender,capital gain,capital loss,hours per week,income,income_value
46,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,>50K,462423
39,Self-emp-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2415,40,>50K,752712
39,Private,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,0,2415,99,>50K,1020446
59,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,>50K,1364513
50,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,>50K,382258
46,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,>50K,845741
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,40,>50K,382793
50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,30,>50K,858862
41,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,55,>50K,998048
36,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,2415,45,>50K,605102
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,90,>50K,1061613
54,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,>50K,1065127
50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,20,>50K,164871
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,>50K,850038
47,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,>50K,236338
67,Private,Bachelors,Widowed,Exec-managerial,Not-in-family,White,Male,0,2392,40,>50K,840668
67,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,75,>50K,779297
72,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2392,25,>50K,1371908
72,,Doctorate,Married-civ-spouse,,Husband,White,Male,0,2392,6,>50K,175244
46,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,50,>50K,981688
78,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,>50K,1018425
71,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,60,>50K,1233324
83,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,55,>50K,1200012
68,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,>50K,766224
26,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2377,45,<=50K,42800
68,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,>50K,559548
49,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2377,40,>50K,1031426
36,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,<=50K,42942
70,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,12,>50K,801291
27,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,2377,20,<=50K,30861
35,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,40,<=50K,34628
23,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,2377,40,<=50K,39060
81,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,26,>50K,786620
66,Self-emp-not-inc,Doctorate,Married-civ-spouse,Sales,Husband,White,Male,0,2377,25,>50K,874658
71,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,45,>50K,819978
68,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,2377,55,>50K,279638
68,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,42,>50K,994974
65,,Bachelors,Married-civ-spouse,,Husband,White,Male,0,2377,40,>50K,1003863
52,Private,HS-grad,Married-civ-spouse,Sales,Husband,Black,Male,0,2377,40,<=50K,32944
40,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,50,<=50K,37781
68,,Bachelors,Married-civ-spouse,,Husband,White,Male,0,2377,35,>50K,1295399
21,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,48,<=50K,43931
35,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,40,<=50K,38479
70,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,50,>50K,670085
61,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,50,<=50K,39618
65,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,65,<=50K,39670
46,Private,5th-6th,Divorced,Craft-repair,Not-in-family,White,Female,0,2339,45,<=50K,44287
26,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,55,<=50K,48241
59,Local-gov,HS-grad,Widowed,Farming-fishing,Unmarried,White,Male,0,2339,40,<=50K,49681
61,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2339,40,<=50K,47812
60,State-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,0,2339,40,<=50K,39307
49,Self-emp-inc,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,2339,50,<=50K,39377
34,Private,Bachelors,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,2339,40,<=50K,48383
25,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,0,2339,35,<=50K,32174
55,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,0,2339,45,<=50K,40857
59,Local-gov,HS-grad,Separated,Protective-serv,Other-relative,Black,Female,0,2339,40,<=50K,35216
28,State-gov,Some-college,Separated,Exec-managerial,Own-child,White,Male,0,2339,40,<=50K,43596
43,,Assoc-voc,Widowed,,Not-in-family,White,Female,0,2339,36,<=50K,48192
56,Self-emp-not-inc,Masters,Divorced,Sales,Unmarried,White,Female,0,2339,60,<=50K,43877
41,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,2339,40,<=50K,34148
42,Private,HS-grad,Never-married,Adm-clerical,Other-relative,Black,Female,0,2339,40,<=50K,36380
28,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,40,<=50K,45470
40,Self-emp-not-inc,Prof-school,Divorced,Other-service,Not-in-family,White,Female,0,2339,35,<=50K,35743
69,Private,Bachelors,Widowed,Prof-specialty,Not-in-family,White,Male,0,2282,40,>50K,977835
66,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2267,40,<=50K,49072
69,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2267,40,<=50K,33230
55,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2267,40,<=50K,44798
57,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,<=50K,33300
20,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Own-child,White,Male,0,2258,10,<=50K,47999
33,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,84,<=50K,45420
30,Self-emp-not-inc,Some-college,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,2258,40,<=50K,38519
40,Private,Bachelors,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,<=50K,44008
38,Private,Some-college,Separated,Machine-op-inspct,Not-in-family,White,Male,0,2258,55,>50K,151166
46,State-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Male,0,2258,38,>50K,861636
29,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,45,>50K,686376
57,Federal-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,<=50K,45511
39,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,2258,42,>50K,283751
47,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,0,2258,40,>50K,678077
26,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,45,>50K,1200315
27,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,2258,50,<=50K,43331
23,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,0,2258,40,>50K,1371911
34,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0,2258,50,<=50K,44399
33,Private,12th,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,42,<=50K,44525
38,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,2258,60,<=50K,37956
57,Private,Some-college,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,38,>50K,133799
36,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,70,<=50K,35441
44,Federal-gov,Bachelors,Divorced,Tech-support,Not-in-family,White,Male,0,2258,40,>50K,881865
49,State-gov,Doctorate,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,50,>50K,542411
44,Self-emp-inc,Some-college,Never-married,Sales,Not-in-family,White,Male,0,2258,60,<=50K,30254
55,Private,Some-college,Widowed,Farming-fishing,Not-in-family,White,Male,0,2258,62,>50K,1195896
45,Private,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male,0,2258,44,>50K,52113
48,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,0,2258,40,>50K,936602
31,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,45,>50K,561029
55,Local-gov,HS-grad,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,2246,40,>50K,603510
70,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,40,>50K,1215348
70,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,8,>50K,128082
73,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,40,>50K,280013
72,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,28,>50K,593501
31,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Female,0,2238,40,<=50K,39043
28,Private,10th,Widowed,Adm-clerical,Unmarried,White,Female,0,2238,35,<=50K,30682
23,Self-emp-not-inc,Bachelors,Never-married,Adm-clerical,Own-child,White,Male,0,2231,40,>50K,1217185
49,Local-gov,9th,Widowed,Handlers-cleaners,Unmarried,White,Male,0,2231,40,>50K,470961
27,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,0,2231,40,>50K,1251188
90,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,<=50K,35287
68,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,0,2206,30,<=50K,39163
65,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,2206,59,<=50K,46732
65,,HS-grad,Widowed,,Unmarried,White,Female,0,2206,10,<=50K,40784
67,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,0,2206,5,<=50K,36056
66,Local-gov,Bachelors,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,25,<=50K,36630
24,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,2205,24,<=50K,47815
44,Self-emp-not-inc,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,2205,35,<=50K,49976
35,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,2205,40,<=50K,44197
20,Private,Assoc-acdm,Never-married,Other-service,Own-child,White,Female,0,2205,18,<=50K,44524
38,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,2205,40,<=50K,33735
39,Private,Some-college,Never-married,Other-service,Own-child,Black,Female,0,2205,40,<=50K,43860
32,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,White,Female,0,2205,40,<=50K,49960
42,Private,7th-8th,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2205,40,<=50K,38760
63,,HS-grad,Divorced,,Not-in-family,White,Female,0,2205,40,<=50K,38194
42,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,2201,60,>50K,159487
64,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,<=50K,41600
28,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,2179,40,<=50K,48626
41,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,84,<=50K,30020
41,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,<=50K,45090
58,Self-emp-not-inc,1st-4th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,18,<=50K,31267
59,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2179,40,<=50K,33255
34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,2179,12,<=50K,35188
45,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,45,<=50K,40289
29,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2179,40,<=50K,43795
47,Private,10th,Married-civ-spouse,Sales,Husband,White,Male,0,2179,52,<=50K,45423
40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2179,40,<=50K,32246
47,Self-emp-not-inc,5th-6th,Married-civ-spouse,Sales,Husband,White,Male,0,2179,50,<=50K,32366
63,,Bachelors,Married-civ-spouse,,Husband,White,Male,0,2179,45,<=50K,36737
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2179,40,<=50K,31873
34,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,2179,40,<=50K,34284
66,,Bachelors,Married-civ-spouse,,Husband,White,Male,0,2174,40,>50K,282572
65,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2174,10,>50K,374207
70,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2174,40,>50K,99457
75,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,50,>50K,471402
65,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2174,40,>50K,1100774
65,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,2174,40,>50K,1389916
73,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,50,>50K,1020743
60,,Bachelors,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,0,2163,25,<=50K,36185
68,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2149,40,<=50K,43919
74,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,2149,20,<=50K,34458
43,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,2129,72,<=50K,38584
19,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,2129,55,<=50K,42001
37,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2129,40,<=50K,36416
45,Federal-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,0,2080,40,<=50K,45174
64,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2057,60,<=50K,44965
30,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2057,40,<=50K,30426
51,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2057,60,<=50K,35953
35,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2057,40,<=50K,36239
29,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,20,<=50K,47305
34,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,40,<=50K,30411
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,60,<=50K,47041
35,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,45,<=50K,47822
26,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2051,40,<=50K,42685
54,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,50,<=50K,38070
52,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,<=50K,40022
50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2051,20,<=50K,33194
31,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2051,40,<=50K,35261
38,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,40,<=50K,33826
30,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,<=50K,40058
34,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2051,40,<=50K,39288
31,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,2051,57,<=50K,41875
52,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2051,38,<=50K,43054
